X;PMPT;PNBDT;PTDIT3
San Juan De Lurigancho;1559;18,0;1.047.726
San Juan De Lurigancho;1757;18,0;1.047.726
San Martín De Porres;1486;8,8;673.149
San Martín De Porres;1715;8,8;673.149
San Martín De Porres;1835;8,8;673.149
Barranca;1738;17,5;68.547
Paramonga;1804;17,4;23.023
Pativilca;1613;31,2;18.861
Supe;1594;28,9;22.202
Supe Puerto;1692;23,7;11.591
Cajatambo;861;48,9;2.429
Copa;722;84,2;886
Gorgor;750;69,7;2.605
Huancapón;645;74,8;1.089
Manas;982;72,8;1.026
Canta;1461;46,8;2.870
Arahuay;1382;64,0;748
Huamantanga;1221;32,4;1.312
San Buenaventura;1366;40,2;530
Santa Rosa De Quives;1702;39,7;7.627
San Vicente De Cañete;1696;27,0;53.705
Asia;1779;24,3;8.608
Calango;1737;29,3;2.366
Cerro Azul;1797;28,8;7.808
Chilca;1807;23,5;15.613
Coayllo;1734;35,8;1.080
Imperial;1699;17,4;39.115
Lunahuana;1512;20,7;4.798
Mala;1793;23,2;32.871
Nuevo Imperial;1549;28,0;22.193
Pacarán;1647;31,5;1.781
Quilmana;1552;20,8;14.924
San Antonio;1856;21,9;4.062
San Luis;1645;28,4;12.815
Santa Cruz De Flores;1857;41,3;2.753
Zuñiga;1648;39,1;1.768
Huaral;1232;21,5;98.133
Huaral;1586;21,5;98.133
Huaral;1811;21,5;98.133
Atavillos Alto;1544;76,2;781
Atavillos Bajo;1641;61,9;1.235
Aucallama;1573;47,5;18.759
Chancay;1736;21,9;59.039
Ihuari;1056;97,8;2.477
Lampián;1107;56,4;445
Pacaraos;1172;75,1;553
San Miguel De Acos;1642;42,1;774
Santa Cruz De Andamarca;1545;69,6;1.369
Sumbilca;1129;95,9;1.041
Veintisiete De Noviembre;1328;58,8;470
Matucana;1671;35,1;3.937
Antioquía;1473;46,7;1.291
Callahuanca;1700;36,1;3.611
Carampoma;1600;53,8;1.621
Chicla;1841;41,7;7.603
Cuenca;888;42,0;402
Huachupampa;1310;70,2;2.454
Huanza;1601;71,1;2.468
Huarochirí;1381;53,9;1.383
Lahuaytambo;1166;79,9;723
Langa;879;88,8;913
Laraos (San Pedro);1311;90,7;1.985
Mariatana;1207;76,3;1.356
Ricardo Palma;1842;24,3;6.102
San Andrés De Tupicocha;902;70,5;1.326
San Antonio;1701;56,5;5.280
San Bartolomé;1772;43,2;2.166
San Damián;924;59,6;1.275
San Juan De Iris;1312;71,6;1.554
San Juan De Tantaranche;1302;70,8;481
San Lorenzo De Quinti;1073;56,1;1.592
San Mateo;1591;41,4;5.158
San Mateo De Otao;1662;50,8;1.684
San Pedro De Casta;1602;47,4;1.301
